20201202 14:01:25 Home condition : clear transaksi success
20201202 14:01:25 Home condition : clear transaction log success
20201202 14:01:25 Home condition : clear array success
20201202 14:01:25 Home condition : clear array nasabah success
20201202 14:01:25 Home condition : clear list success
20201202 14:01:25 Home condition : clear transaksi baru success
20201202 14:01:26 Home condition : clear transaksi success
20201202 14:01:26 Home condition : clear transaction log success
20201202 14:01:26 Home condition : clear array success
20201202 14:01:26 Home condition : clear array nasabah success
20201202 14:01:26 Home condition : clear list success
20201202 14:01:26 Home condition : clear transaksi baru success
20201202 14:01:29 Home condition : input kartu success
20201202 14:01:29 Home condition : move to input pin
20201202 14:01:29 Home condition : EDC process start
20201202 14:01:29 Home condition : entered into insert debit
20201202 14:01:29 Home condition : EDC serial port close
20201202 14:01:29 Home condition : EDC serial port open
20201202 14:01:30 Home condition : EDC serial port write
20201202 14:01:30 Home condition : EDC serial port already open
20201202 14:01:30 Home condition : EDC serial port already open
20201202 14:01:30 Home condition : EDC serial port already open
20201202 14:01:31 Home condition : EDC serial port already open
20201202 14:01:31 Home condition : EDC serial port already open
20201202 14:01:31 Home condition : EDC serial port already open
20201202 14:01:31 Home condition : EDC serial port already open
20201202 14:01:32 Home condition : EDC serial port already open
20201202 14:01:32 Home condition : EDC serial port already open
20201202 14:01:32 Home condition : EDC serial port already open
20201202 14:01:33 Home condition : EDC serial port already open
20201202 14:01:33 Home condition : EDC serial port already open
20201202 14:01:33 Home condition : EDC serial port already open
20201202 14:01:33 Home condition : EDC serial port already open
20201202 14:01:34 Home condition : EDC serial port already open
20201202 14:01:34 Home condition : EDC serial port already open
20201202 14:01:34 Home condition : EDC serial port already open
20201202 14:01:35 Home condition : EDC serial port already open
20201202 14:01:35 Home condition : EDC serial port already open
20201202 14:01:35 Home condition : EDC serial port already open
20201202 14:01:36 Home condition : EDC serial port already open
20201202 14:01:36 Home condition : EDC serial port already open
20201202 14:01:36 Home condition : EDC serial port close
20201202 14:01:36 Home condition : entered into histori input pin
20201202 14:01:36 Home condition : EDC process start
20201202 14:01:36 Home condition : EDC serial port close
20201202 14:01:36 Home condition : EDC serial port open
20201202 14:01:36 Home condition : EDC serial port write
20201202 14:01:37 Home condition : EDC serial port already open
20201202 14:01:37 Home condition : EDC serial port already open
20201202 14:01:37 Home condition : EDC serial port already open
20201202 14:01:37 Home condition : EDC serial port already open
20201202 14:01:38 Home condition : EDC serial port already open
20201202 14:01:38 Home condition : EDC serial port already open
20201202 14:01:38 Home condition : EDC serial port already open
20201202 14:01:39 Home condition : EDC serial port already open
20201202 14:01:39 Home condition : EDC serial port already open
20201202 14:01:39 Home condition : EDC serial port already open
20201202 14:01:39 Home condition : EDC serial port already open
20201202 14:01:40 Home condition : EDC serial port already open
20201202 14:01:40 Home condition : EDC serial port already open
20201202 14:01:40 Home condition : EDC serial port already open
20201202 14:01:41 Home condition : EDC serial port already open
20201202 14:01:41 Home condition : EDC serial port already open
20201202 14:01:41 Home condition : EDC serial port already open
20201202 14:01:41 Home condition : EDC serial port already open
20201202 14:01:42 Home condition : EDC serial port already open
20201202 14:01:42 Home condition : EDC serial port already open
20201202 14:01:42 Home condition : EDC serial port already open
20201202 14:01:43 Home condition : EDC serial port already open
20201202 14:01:43 Home condition : EDC serial port already open
20201202 14:01:43 Home condition : EDC serial port already open
20201202 14:01:43 Home condition : EDC serial port already open
20201202 14:01:44 Home condition : EDC serial port already open
20201202 14:01:44 Home condition : EDC serial port already open
20201202 14:01:44 Home condition : EDC serial port already open
20201202 14:01:45 Home condition : EDC serial port already open
20201202 14:01:45 Home condition : EDC serial port already open
20201202 14:01:45 Home condition : EDC serial port already open
20201202 14:01:45 Home condition : EDC serial port already open
20201202 14:01:46 Home condition : EDC serial port already open
20201202 14:01:46 Home condition : EDC serial port already open
20201202 14:01:46 Home condition : EDC serial port already open
20201202 14:01:47 Home condition : EDC serial port already open
20201202 14:01:47 Home condition : EDC serial port already open
20201202 14:01:47 Home condition : EDC serial port already open
20201202 14:01:47 Home condition : EDC serial port already open
20201202 14:01:48 Home condition : EDC serial port already open
20201202 14:01:48 Home condition : EDC serial port already open
20201202 14:01:48 Home condition : EDC serial port already open
20201202 14:01:49 Home condition : EDC serial port already open
20201202 14:01:49 Home condition : EDC serial port already open
20201202 14:01:49 Home condition : EDC serial port already open
