20201202 10:29:59 Home condition : EDC serial port already open
20201202 10:29:59 Home condition : EDC serial port already open
20201202 10:29:59 Home condition : EDC serial port already open
20201202 10:30:00 Home condition : EDC serial port already open
20201202 10:30:00 Home condition : EDC serial port already open
20201202 10:30:00 Home condition : EDC serial port already open
20201202 10:30:01 Home condition : EDC serial port already open
20201202 10:30:01 Home condition : EDC serial port already open
20201202 10:30:01 Home condition : EDC serial port already open
20201202 10:30:01 Home condition : EDC serial port already open
20201202 10:30:02 Home condition : EDC serial port already open
20201202 10:30:02 Home condition : EDC serial port already open
20201202 10:30:02 Home condition : EDC serial port already open
20201202 10:30:02 Home condition : EDC serial port already open
20201202 10:30:03 Home condition : EDC serial port already open
20201202 10:30:03 Home condition : EDC serial port already open
20201202 10:30:03 Home condition : EDC serial port already open
20201202 10:30:04 Home condition : EDC serial port already open
20201202 10:30:04 Home condition : EDC serial port already open
20201202 10:30:04 Home condition : EDC serial port already open
20201202 10:30:04 Home condition : EDC serial port already open
20201202 10:30:05 Home condition : EDC serial port already open
20201202 10:30:05 Home condition : EDC serial port already open
20201202 10:30:05 Home condition : EDC serial port already open
20201202 10:30:05 Home condition : EDC serial port already open
20201202 10:30:06 Home condition : EDC serial port already open
20201202 10:30:06 Home condition : EDC serial port already open
20201202 10:30:06 Home condition : EDC serial port already open
20201202 10:30:07 Home condition : EDC serial port already open
20201202 10:30:07 Home condition : EDC serial port already open
20201202 10:30:07 Home condition : EDC serial port already open
20201202 10:30:07 Home condition : EDC serial port already open
20201202 10:30:08 Home condition : EDC serial port already open
20201202 10:30:08 Home condition : EDC serial port already open
20201202 10:30:08 Home condition : EDC serial port already open
20201202 10:30:08 Home condition : EDC serial port already open
20201202 10:30:09 Home condition : EDC serial port already open
20201202 10:30:09 Home condition : EDC serial port already open
20201202 10:30:09 Home condition : EDC serial port already open
20201202 10:30:10 Home condition : EDC serial port already open
20201202 10:30:10 Home condition : EDC serial port already open
20201202 10:30:10 Home condition : EDC serial port already open
20201202 10:30:10 Home condition : EDC serial port already open
20201202 10:30:11 Home condition : EDC serial port already open
20201202 10:30:11 Home condition : EDC serial port already open
20201202 10:30:11 Home condition : EDC serial port already open
20201202 10:30:11 Home condition : EDC serial port already open
20201202 10:30:12 Home condition : EDC serial port already open
20201202 10:30:12 Home condition : EDC serial port already open
20201202 10:30:12 Home condition : EDC serial port already open
20201202 10:30:13 Home condition : EDC serial port already open
20201202 10:30:13 Home condition : EDC serial port already open
20201202 10:30:13 Home condition : EDC serial port already open
20201202 10:30:13 Home condition : EDC serial port already open
20201202 10:30:14 Home condition : EDC serial port already open
20201202 10:30:14 Home condition : EDC serial port already open
20201202 10:30:14 Home condition : EDC serial port already open
20201202 10:30:14 Home condition : EDC serial port already open
20201202 10:30:15 Home condition : EDC serial port already open
20201202 10:30:15 Home condition : EDC serial port already open
20201202 10:30:15 Home condition : EDC serial port already open
20201202 10:30:16 Home condition : EDC serial port already open
20201202 10:30:16 Home condition : EDC serial port already open
20201202 10:30:16 Home condition : EDC serial port already open
20201202 10:30:16 Home condition : EDC serial port already open
20201202 10:30:17 Home condition : EDC serial port already open
20201202 10:30:17 Home condition : EDC serial port already open
20201202 10:30:17 Home condition : EDC serial port already open
20201202 10:30:17 Home condition : EDC serial port already open
20201202 10:30:18 Home condition : EDC serial port already open
20201202 10:30:18 Home condition : EDC serial port already open
20201202 10:30:18 Home condition : EDC serial port already open
20201202 10:30:19 Home condition : EDC serial port already open
20201202 10:30:19 Home condition : EDC serial port already open
20201202 10:33:54 Home condition : clear transaksi success
20201202 10:33:54 Home condition : clear transaction log success
20201202 10:33:54 Home condition : clear array success
20201202 10:33:54 Home condition : clear array nasabah success
20201202 10:33:54 Home condition : clear list success
20201202 10:33:54 Home condition : clear transaksi baru success
20201202 10:33:55 Home condition : clear transaksi success
20201202 10:33:55 Home condition : clear transaction log success
20201202 10:33:55 Home condition : clear array success
20201202 10:33:55 Home condition : clear array nasabah success
20201202 10:33:55 Home condition : clear list success
20201202 10:33:55 Home condition : clear transaksi baru success
20201202 10:34:07 Home condition : input kartu success
20201202 10:34:07 Home condition : move to input pin
20201202 10:34:11 Home condition : EDC process start
20201202 10:34:11 Home condition : entered into insert debit
20201202 10:34:13 Home condition : EDC serial port close
20201202 10:34:13 Home condition : EDC serial port write
20201202 10:35:20 Home condition : clear transaksi success
20201202 10:35:20 Home condition : clear transaction log success
20201202 10:35:20 Home condition : clear array success
20201202 10:35:20 Home condition : clear array nasabah success
20201202 10:35:20 Home condition : clear list success
20201202 10:35:20 Home condition : clear transaksi baru success
20201202 10:35:21 Home condition : clear transaksi success
20201202 10:35:21 Home condition : clear transaction log success
20201202 10:35:21 Home condition : clear array success
20201202 10:35:21 Home condition : clear array nasabah success
20201202 10:35:21 Home condition : clear list success
20201202 10:35:21 Home condition : clear transaksi baru success
20201202 10:35:23 Home condition : input kartu success
20201202 10:35:23 Home condition : move to input pin
20201202 10:35:25 Home condition : EDC process start
20201202 10:35:25 Home condition : entered into insert debit
20201202 10:35:26 Home condition : EDC serial port close
20201202 10:35:26 Home condition : EDC serial port write
20201202 10:37:06 Home condition : clear transaksi success
20201202 10:37:06 Home condition : clear transaction log success
20201202 10:37:06 Home condition : clear array success
20201202 10:37:06 Home condition : clear array nasabah success
20201202 10:37:06 Home condition : clear list success
20201202 10:37:06 Home condition : clear transaksi baru success
20201202 10:37:07 Home condition : clear transaksi success
20201202 10:37:07 Home condition : clear transaction log success
20201202 10:37:07 Home condition : clear array success
20201202 10:37:07 Home condition : clear array nasabah success
20201202 10:37:07 Home condition : clear list success
20201202 10:37:07 Home condition : clear transaksi baru success
20201202 10:37:08 Home condition : input kartu success
20201202 10:37:08 Home condition : move to input pin
20201202 10:37:11 Home condition : EDC process start
