20201203 11:06:09 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:10 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:11 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:12 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:13 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:14 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:15 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:16 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:17 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:18 Home condition : 1
20201203 11:06:18 Home condition : EDC pin 1
20201203 11:06:18 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : EDC serial port already open
20201203 11:06:19 Home condition : 11
20201203 11:06:19 Home condition : EDC pin 1
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:20 Home condition : 111
20201203 11:06:20 Home condition : EDC pin 1
20201203 11:06:20 Home condition : EDC serial port already open
20201203 11:06:21 Home condition : EDC serial port already open
20201203 11:06:21 Home condition : EDC serial port already open
20201203 11:06:21 Home condition : EDC serial port already open
20201203 11:06:22 Home condition : EDC serial port already open
20201203 11:06:22 Home condition : 1111
20201203 11:06:22 Home condition : EDC pin 1
20201203 11:06:22 Home condition : EDC serial port already open
20201203 11:06:22 Home condition : EDC serial port already open
20201203 11:06:22 Home condition : EDC serial port already open
20201203 11:06:23 Home condition : EDC serial port already open
20201203 11:06:23 Home condition : 11111
20201203 11:06:23 Home condition : EDC pin 1
20201203 11:06:23 Home condition : EDC serial port already open
20201203 11:06:23 Home condition : EDC serial port already open
20201203 11:06:23 Home condition : EDC serial port already open
20201203 11:06:24 Home condition : EDC serial port already open
20201203 11:06:24 Home condition : 111111
20201203 11:06:24 Home condition : EDC pin 1
20201203 11:06:24 Home condition : EDC serial port already open
20201203 11:06:24 Home condition : EDC serial port already open
20201203 11:06:24 Home condition : EDC serial port close
20201203 11:08:12 Histori condition : post service start
20201203 11:08:14 Histori condition : post service start
20201203 11:08:21 Home condition : clear transaksi success
20201203 11:08:21 Home condition : clear transaction log success
20201203 11:08:21 Home condition : clear array success
20201203 11:08:21 Home condition : clear array nasabah success
20201203 11:08:21 Home condition : clear list success
20201203 11:08:21 Home condition : clear transaksi baru success
20201203 11:08:21 Home condition : clear transaksi success
20201203 11:08:21 Home condition : clear transaction log success
20201203 11:08:21 Home condition : clear array success
20201203 11:08:21 Home condition : clear array nasabah success
20201203 11:08:21 Home condition : clear list success
20201203 11:08:21 Home condition : clear transaksi baru success
20201203 11:08:23 Home condition : input kartu success
20201203 11:08:23 Home condition : move to input pin
20201203 11:08:23 Home condition : EDC process start
20201203 11:08:23 Home condition : entered into insert debit
20201203 11:08:23 Home condition : EDC serial port close
20201203 11:08:23 Home condition : EDC serial port open
20201203 11:08:23 Home condition : EDC serial port write
20201203 11:08:23 Home condition : EDC serial port already open
20201203 11:08:23 Home condition : EDC serial port already open
20201203 11:08:24 Home condition : EDC serial port already open
20201203 11:08:24 Home condition : EDC serial port already open
20201203 11:08:24 Home condition : EDC serial port already open
20201203 11:08:24 Home condition : EDC serial port already open
20201203 11:08:25 Home condition : EDC serial port already open
20201203 11:08:25 Home condition : EDC serial port already open
20201203 11:08:25 Home condition : EDC serial port already open
20201203 11:08:26 Home condition : EDC serial port already open
20201203 11:08:26 Home condition : EDC serial port already open
20201203 11:08:26 Home condition : EDC serial port already open
20201203 11:08:26 Home condition : EDC serial port already open
20201203 11:08:27 Home condition : EDC serial port already open
20201203 11:08:27 Home condition : EDC serial port already open
20201203 11:08:27 Home condition : EDC serial port already open
20201203 11:08:27 Home condition : EDC serial port already open
20201203 11:08:28 Home condition : EDC serial port already open
20201203 11:08:28 Home condition : EDC serial port already open
20201203 11:08:28 Home condition : EDC serial port already open
20201203 11:08:29 Home condition : EDC serial port already open
20201203 11:08:29 Home condition : EDC serial port already open
20201203 11:08:29 Home condition : EDC serial port already open
20201203 11:08:29 Home condition : EDC serial port close
20201203 11:08:29 Home condition : entered into histori input pin
20201203 11:08:29 Home condition : EDC process start
20201203 11:08:29 Home condition : EDC serial port close
20201203 11:08:29 Home condition : EDC serial port open
20201203 11:08:29 Home condition : EDC serial port write
20201203 11:08:30 Home condition : EDC serial port already open
20201203 11:08:30 Home condition : EDC serial port already open
20201203 11:08:30 Home condition : EDC serial port already open
20201203 11:08:30 Home condition : EDC serial port already open
20201203 11:08:31 Home condition : EDC serial port already open
20201203 11:08:31 Home condition : EDC serial port already open
20201203 11:08:31 Home condition : EDC serial port already open
20201203 11:08:31 Home condition : EDC serial port already open
20201203 11:08:32 Home condition : EDC serial port already open
20201203 11:08:32 Home condition : EDC serial port already open
20201203 11:08:32 Home condition : EDC serial port already open
20201203 11:08:33 Home condition : EDC serial port already open
20201203 11:08:33 Home condition : EDC serial port already open
20201203 11:08:33 Home condition : EDC serial port already open
20201203 11:08:33 Home condition : EDC serial port already open
20201203 11:08:34 Home condition : EDC serial port already open
20201203 11:08:34 Home condition : EDC serial port already open
20201203 11:08:34 Home condition : EDC serial port already open
